headline,label
"ಹೊಸ ಶಿಕ್ಷಣ ನೀತಿಯ ಪರಿಣಾಮಗಳ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ಫೋಟೋಗಳು",fake
"ಪ್ರಸಿದ್ಧ ರಾಜಕಾರಣಿಯ ಕುಟುಂಬದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"ಸಿನಿಮಾ ನಟಿಯ ರಾಜಕೀಯ ಪ್ರವೇಶದ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಬಂಡವಾಳ ಹೂಡಿಕೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಅಪಾಯಗಳ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"ಪ್ರಸಿದ್ಧ ಆಟಗಾರನ ನಿವೃತ್ತಿ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"ಹೊಸ ಶಿಕ್ಷಣ ನೀತಿಯ ಅನುಷ್ಠಾನ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ಆಡಿಯೋ ಕ್ಲಿಪ್",fake
"ಪ್ರಸಿದ್ಧ ವ್ಯಕ್ತಿಯ ಕುಟುಂಬದ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"ಸಿನಿಮಾ ನಟನ ರಾಜಕೀಯ ಪಕ್ಷ ಸೇರಿದ್ದ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"ರಾಜಕೀಯ ನಾಯಕನ ಹೊಸ ಯೋಜನೆ ಯಶಸ್ವಿಯಾಗಿದೆ ಎಂದು ತಪ್ಪು ಸುದ್ದಿ",fake
"ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹೂಡಿಕೆದಾರರ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"ವೈದ್ಯಕೀಯ ಉತ್ಪನ್ನದ ಲಾಭದ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಹೊಸ ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮದ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"ಸಿನಿಮಾ ನಟಿಯ ಹೊಸ ಚಿತ್ರದಲ್ಲಿ ಅಭಿನಯದ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹೊಸ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಯಶಸ್ಸಿನ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"2020ರಲ್ಲಿ ಹೊಸ ರಾಜಕೀಯ ಪಕ್ಷ ಸ್ಥಾಪನೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2005ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ನಟನ ರಾಜಕೀಯ ಪ್ರವೇಶದ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2012ರಲ್ಲಿ ಕ್ರಿಕೆಟ್ ತಂಡದ ನಾಯಕನ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2018ರಲ್ಲಿ ಹೊಸ ಟೆಕ್ ಕಂಪನಿಯ IPO ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2003ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ವಿವಾಹದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2015ರಲ್ಲಿ ಆರೋಗ್ಯ ಉತ್ಪನ್ನದ ಅಪಾಯಗಳ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2021ರಲ್ಲಿ ಶಿಕ್ಷಣ ನೀತಿಯ ಬದಲಾವಣೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2008ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಕುಸಿತದ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2019ರಲ್ಲಿ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ವಿಡಿಯೋ",fake
"2001ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2016ರಲ್ಲಿ ಸಿನೆಮಾ ನಟಿಯ ಹೊಸ ಚಿತ್ರ ಬಿಡುಗಡೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2022ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಯಶಸ್ಸಿನ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"2004ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಆಟಗಾರನ ನಿವೃತ್ತಿ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2017ರಲ್ಲಿ ಹೊಸ ಶಿಕ್ಷಣ ನೀತಿಯ ಅನುಷ್ಠಾನ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"2023ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಗೆಲುವಿನ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2002ರಲ್ಲಿ ಆರ್ಥಿಕ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2014ರಲ್ಲಿ ವೈಜ್ಞಾನಿಕ ಸಂಶೋಧನೆಯ ಫಲಿತಾಂಶವನ್ನು ತಪ್ಪಾಗಿ ವರದಿ ಮಾಡಿದ ಸುದ್ದಿ",fake
"2025ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಹೊಸ ಆಲ್ಬಮ್ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2006ರಲ್ಲಿ ಸಿನೆಮಾ ನಟನ ಮರಣದ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2013ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಹೊಸ ಯೋಜನೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2010ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಬಂಡವಾಳ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2024ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಉತ್ಪನ್ನದ ಲಾಭದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2007ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ವ್ಯಕ್ತಿಯ ಬಂಧನದ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2011ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"2009ರಲ್ಲಿ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ಫೋಟೋಗಳು",fake
"2018ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಆಟಗಾರನ ಗಾಯದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2020ರಲ್ಲಿ ಹೊಸ ಟೆಕ್ ಉತ್ಪನ್ನದಲ್ಲಿ ಅಪಾಯವಿದೆ ಎಂದು ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2005ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2012ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಏರಿಕೆ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"2019ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಅಪಾಯಗಳ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2003ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಬಗ್ಗೆ ಸುಳ್ಳು ಗಾಸಿಪ್",fake
"2015ರಲ್ಲಿ ಸಿನೆಮಾ ನಟಿಯ ರಾಜಕೀಯ ಪ್ರವೇಶದ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2021ರಲ್ಲಿ ಆರ್ಥಿಕ ಹೂಡಿಕೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"2008ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಹೊಸ ಯೋಜನೆ ಯಶಸ್ವಿಯಾಗಿದೆ ಎಂದು ತಪ್ಪು ಸುದ್ದಿ",fake
"2016ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಉತ್ಪನ್ನದ ಪರಿಣಾಮಗಳ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2022ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ವ್ಯಕ್ತಿಯ ಕುಟುಂಬದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2004ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹೊಸ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2017ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2023ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಯಶಸ್ಸಿನ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2002ರಲ್ಲಿ ಹೊಸ ಶಿಕ್ಷಣ ನೀತಿಯ ಪರಿಣಾಮಗಳ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"2014ರಲ್ಲಿ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ಆಡಿಯೋ ಕ್ಲಿಪ್",fake
"2025ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"2006ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹೂಡಿಕೆದಾರರ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2013ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಉತ್ಪನ್ನದ ಲಾಭದ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2010ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಹೊಸ ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮದ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"2024ರಲ್ಲಿ ಸಿನೆಮಾ ನಟಿಯ ಹೊಸ ಚಿತ್ರದಲ್ಲಿ ಅಭಿನಯದ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2007ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2011ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಬಂಡವಾಳ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2009ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಯಶಸ್ಸಿನ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ",fake
"2018ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಆಟಗಾರನ ತಂಡ ಬದಲಾವಣೆ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2020ರಲ್ಲಿ ಹೊಸ ಶಿಕ್ಷಣ ನೀತಿಯ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2005ರಲ್ಲಿ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ವಿಡಿಯೋ ಕ್ಲಿಪ್",fake
"2012ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಹೊಸ ಯೋಜನೆ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2019ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಕುಸಿತದ ಬಗ್ಗೆ ತಪ್ಪು ಸುದ್ದಿ",fake
"2003ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಫಲಿತಾಂಶವನ್ನು ತಪ್ಪಾಗಿ ವಿವರಿಸಿದ ಸುದ್ದಿ",fake
"2015ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಹೊಸ ಆಲ್ಬಮ್ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2021ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಗೆಲುವಿನ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ",fake
"2008ರಲ್ಲಿ ಆರ್ಥಿಕ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ",fake
"2016ರಲ್ಲಿ ವೈಜ್ಞಾನಿಕ ಸಂಶೋಧನೆಯ ಫಲಿತಾಂಶವನ್ನು ತಪ್ಪಾಗಿ ವರದಿ ಮಾಡಿದ ಸುದ್ದಿ",fake
"2022ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2004ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಉತ್ಪನ್ನದ ಪರಿಣಾಮಗಳ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2017ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಏರಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
"2023ರಲ್ಲಿ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ಫೋಟೋಗಳು",fake
"2000ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಆಸ್ತಿ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ",fake
"2001ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಹೊಸ ಆಲ್ಬಮ್ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ",fake
